Bucket Name,Region,Storage (GB),GET Cost ($),PUT Cost ($),Data Transfer Cost ($),Total Cost ($),Most Expensive Operation
athena-frammer-s3-query-result,ap-south-1,2.3727,0,0,0,.0545,GET
aws-waf-logs-frammerprod,ap-south-1,0,0,0,0,0,GET
brightcove-billing,ap-south-1,0,0,0,0,0,GET
brightcove-videos-received,ap-south-1,0,0,0,0,0,GET
brightcove-videos-tosend,ap-south-1,0,0,0,0,0,GET
cf-templates-1lf8t5rlx4xqz-ap-south-1,ap-south-1,0,0,0,0,0,GET
codepipeline-ap-south-1-537983819517,ap-south-1,22.0939,0,0,0,.5081,GET
cw-syn-results-643548284126-ap-south-1,ap-south-1,2.3165,0,0,0,.0532,GET
demo-frammer-bucket,ap-south-1,5614.1350,0,0,0,129.1251,GET
demo-frammer-incremental-backup,ap-south-2,25843.5317,0,0,0,594.4012,GET
demo-frammer-temp-upload-file,ap-south-1,71.6477,0,0,0,1.6478,GET
demo-frontend-config,ap-south-1,0,0,0,0,0,GET
demo-harvested-ts-files,ap-south-1,0,0,0,0,0,GET
demo-harvested-ts-files-v2,ap-south-1,19.4285,0,0,0,.4468,GET
demo-hot-frammer-bucket,ap-south-1,1178.7181,0,0,0,27.1105,GET
demo-opencv-bin,ap-south-1,.0655,0,0,0,.0015,GET
demo-prompts-bucket,ap-south-1,.0003,0,0,0,0,GET
demo-sqs-transcript,ap-south-1,0,0,0,0,0,GET
dev-frammer-alb-bucket,ap-south-1,1.4315,0,0,0,.0329,GET
dev-frammer-bucket,ap-south-1,1351.1982,0,0,0,31.0775,GET
dev-frammer-internal-alb-bucket,ap-south-1,2.2434,0,0,0,.0515,GET
dev-frontend-config,ap-south-1,0,0,0,0,0,GET
fai-assets-data,ap-south-1,1.1957,0,0,0,.0275,GET
frammer-client-assets,ap-south-1,0,0,0,0,0,GET
frammer-common-bucket,ap-south-1,0,0,0,0,0,GET
frammer-iac-statefile-tf-4126,ap-south-1,0,0,0,0,0,GET
frammer-rough-bucket,ap-south-1,0,0,0,0,0,GET
frammer-tf-backend,ap-south-1,0,0,0,0,0,GET
frammer-whisper,ap-south-1,0,0,0,0,0,GET
glacier-test-fram-delete-after-testing,ap-south-1,0,0,0,0,0,GET
india-today-updated,ap-south-1,.0002,0,0,0,0,GET
indiatoday-backup,ap-south-1,19.8388,0,0,0,.4562,GET
medialive-temp,ap-south-1,0,0,0,0,0,GET
mediapackage-temp,ap-south-1,3.6192,0,0,0,.0832,GET
neuralspace-transcript,ap-south-1,0,0,0,0,0,GET
prod-frammer-s3-bucket-logs,ap-south-1,21.7549,0,0,0,.5003,GET
prod-frammer-terraform-state,ap-south-1,.2243,0,0,0,.0051,GET
rrr-temp,ap-south-1,3.5895,0,0,0,.0825,GET
runpod-agni-input,ap-south-1,.5372,0,0,0,.0123,GET
runpod-agni-output,ap-south-1,.0482,0,0,0,.0011,GET
runpod-agni-v2-hoichoi-input,ap-south-1,.3653,0,0,0,.0084,GET
runpod-agni-v2-hoichoi-output,ap-south-1,.2286,0,0,0,.0052,GET
runpod-agni-v2-input,ap-south-1,10.2261,0,0,0,.2352,GET
runpod-agni-v2-output,ap-south-1,27.7015,0,0,0,.6371,GET
sagemaker-ap-south-1-643548284126,ap-south-1,0,0,0,0,0,GET
sagemaker-studio-643548284126-0hr850qmxdev,ap-south-1,0,0,0,0,0,GET
sagemaker-studio-643548284126-lttjg7dq3f,ap-south-1,0,0,0,0,0,GET
serverless-image-frammer,ap-south-1,0,0,0,0,0,GET
serverless-image-handler-logs-0a2f4362,ap-south-1,0,0,0,0,0,GET
serverless-image-handler-logs-3401c310,ap-south-1,0,0,0,0,0,GET
serverless-image-handler-logs-bee374c8,None,0,0,0,0,0,GET
serverless-image-handler-logs-c6a773c0,None,0,0,0,0,0,GET
serverless-image-handler-logs-eef27894,None,0,0,0,0,0,GET
serverless-image-handler-logs-f31d5264,ap-south-1,0,0,0,0,0,GET
stage-cutclips-hotfolder,ap-south-1,0,0,0,0,0,GET
stage-ffmpeg-bin,ap-south-1,.6824,0,0,0,.0156,GET
stage-frammer-bucket,ap-south-1,754.9668,0,0,0,17.3642,GET
stage-frammer-bucket-copy,ap-south-1,0,0,0,0,0,GET
stage-frammer-bucket-retain,ap-south-1,0,0,0,0,0,GET
stage-frammer-temp-upload-file,ap-south-1,.0725,0,0,0,.0016,GET
stage-frontend-config,ap-south-1,0,0,0,0,0,GET
stage-harvested-ts-files-v2,ap-south-1,.4080,0,0,0,.0093,GET
stage-hot-frammer-bucket,ap-south-1,42.1197,0,0,0,.9687,GET
stage-medialive-dump,ap-south-1,0,0,0,0,0,GET
stage-prompts-bucket,ap-south-1,.0006,0,0,0,0,GET
stage-ugc-destination-bucket,ap-south-1,2.1280,0,0,0,.0489,GET
stage-ugc-source-bucket,ap-south-1,.1120,0,0,0,.0025,GET
temp-serverless-resize-1253e7390e66d1f0,None,0,0,0,0,0,GET
test-frammer-tmp-del,ap-south-1,0,0,0,0,0,GET
test-role-bucket-mum,ap-south-1,0,0,0,0,0,GET
test-stage-frammer-bucket-lifecycle-rule,ap-south-1,0,0,0,0,0,GET
tevico-cur-bucket-84d4daf0,None,0,0,0,0,0,GET
yt-download-temp-s3,ap-south-1,3.6604,0,0,0,.0841,GET
